2025-12-31 10:06:29 | INFO     | log:151 | [upload_documents] Uploading 1 files
2025-12-31 10:06:29 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-31 10:06:29 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-31 10:06:29 | DEBUG    | log:153 | [build_search_text] Built search_text (625 chars)
2025-12-31 10:06:29 | DEBUG    | log:153 | [insert_document_with_examples] Inserting doc_id=15, search_text length=625
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] Starting doc_table.insert() for doc_id=15...
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] doc_table.insert() completed in 0.04s for doc_id=15
2025-12-31 10:06:29 | DEBUG    | log:153 | [parse_examples_to_list] Parsed 20 examples
2025-12-31 10:06:29 | DEBUG    | log:153 | [insert_document_with_examples] Inserted 20 examples for doc_id=15
2025-12-31 10:06:29 | DEBUG    | log:153 | [build_search_text] Built search_text (621 chars)
2025-12-31 10:06:29 | DEBUG    | log:153 | [insert_document_with_examples] Inserting doc_id=16, search_text length=621
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] Starting doc_table.insert() for doc_id=16...
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] doc_table.insert() completed in 0.03s for doc_id=16
2025-12-31 10:06:29 | DEBUG    | log:153 | [parse_examples_to_list] Parsed 20 examples
2025-12-31 10:06:29 | DEBUG    | log:153 | [insert_document_with_examples] Inserted 20 examples for doc_id=16
2025-12-31 10:06:29 | DEBUG    | log:153 | [build_search_text] Built search_text (619 chars)
2025-12-31 10:06:29 | DEBUG    | log:153 | [insert_document_with_examples] Inserting doc_id=17, search_text length=619
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] Starting doc_table.insert() for doc_id=17...
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] doc_table.insert() completed in 0.04s for doc_id=17
2025-12-31 10:06:29 | DEBUG    | log:153 | [parse_examples_to_list] Parsed 20 examples
2025-12-31 10:06:29 | DEBUG    | log:153 | [insert_document_with_examples] Inserted 20 examples for doc_id=17
2025-12-31 10:06:29 | DEBUG    | log:153 | [build_search_text] Built search_text (617 chars)
2025-12-31 10:06:29 | DEBUG    | log:153 | [insert_document_with_examples] Inserting doc_id=18, search_text length=617
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] Starting doc_table.insert() for doc_id=18...
2025-12-31 10:06:29 | INFO     | log:151 | [insert_document_with_examples] doc_table.insert() completed in 0.03s for doc_id=18
2025-12-31 10:06:29 | DEBUG    | log:153 | [parse_examples_to_list] Parsed 20 examples
